structure,pol,delta_nm,sphere,peak,lambda_nm,hv_eV,Pabs_peak_eVps,Ne_eps0.5_tau100fs,Ne_eps0.5_tau500fs,Ne_eps0.5_tau1000fs,Ne_eps0.5_max_over_tau,Ne_eps1.0_tau100fs,Ne_eps1.0_tau500fs,Ne_eps1.0_tau1000fs,Ne_eps1.0_max_over_tau,Ne_eps2.0_tau100fs,Ne_eps2.0_tau500fs,Ne_eps2.0_tau1000fs,Ne_eps2.0_max_over_tau
2,Ey(kx),1.1333333333333333,1,1,357.7214742195804,3.4683417085427135,5306.988976707947,0.6893041673926005,0.7301275504980442,0.7353441030342279,0.7365253462864516,0.6373537212270453,0.683205597339131,0.6892567987330962,0.6906302288950465,0.5215235029768073,0.510760445383477,0.5052599579358051,0.5278840529101327
2,Ey(kx),1.1333333333333333,1,2,330.8755849723323,3.749748743718593,721.6368301019322,0.7932217648947097,0.8160052558115101,0.8166924911893758,0.8168089583682007,0.713721891869882,0.7374759896533521,0.7382526338223017,0.7383876827095963,0.5874993113263506,0.6176362711672002,0.6187223116399482,0.6189178467906177
2,Ey(kx),1.1333333333333333,2,1,357.7214742195804,3.4683417085427135,5306.988976707948,0.6893041673926004,0.7301275504980436,0.7353441030342275,0.7365253462864507,0.6373537212270451,0.6832055973391302,0.6892567987330958,0.6906302288950458,0.5215235029768073,0.5107604453834768,0.505259957935805,0.5278840529101329
2,Ey(kx),1.1333333333333333,2,2,330.8755849723323,3.749748743718593,721.636830101931,0.7932217648947095,0.8160052558115101,0.8166924911893757,0.8168089583682004,0.7137218918698818,0.7374759896533521,0.7382526338223014,0.7383876827095961,0.5874993113263504,0.6176362711672001,0.618722311639948,0.6189178467906175
