structure,pol,delta_nm,sphere,peak,lambda_nm,hv_eV,Pabs_peak_eVps,Ne_eps0.5_tau100fs,Ne_eps0.5_tau500fs,Ne_eps0.5_tau1000fs,Ne_eps0.5_max_over_tau,Ne_eps1.0_tau100fs,Ne_eps1.0_tau500fs,Ne_eps1.0_tau1000fs,Ne_eps1.0_max_over_tau,Ne_eps2.0_tau100fs,Ne_eps2.0_tau500fs,Ne_eps2.0_tau1000fs,Ne_eps2.0_max_over_tau
2,Ey(kx),1.4444444444444444,1,1,354.1298931531188,3.5035175879396974,5343.653079858988,0.8227470890446482,0.8445713426753579,0.8455697004760082,0.8457123069260777,0.7589881224571943,0.7909250948469133,0.7924544495824541,0.7927039452188528,0.3530761370539654,0.3209092671233999,0.3210074292090714,0.3976664236381208
2,Ey(kx),1.4444444444444444,1,2,329.63866689766934,3.763819095477387,508.4280885331858,0.7728680737693,0.9657890344641565,0.9855534407601826,0.9895914713363249,0.4241111155891183,0.06447544223927285,0.02402410951221701,0.5175374288556234,0.3078388871534723,0.047049983247800756,0.017362309331300237,0.37486184234824205
2,Ey(kx),1.4444444444444444,2,1,354.1298931531188,3.5035175879396974,5343.653079858986,0.8227470890446482,0.844571342675358,0.8455697004760082,0.8457123069260774,0.7589881224571944,0.7909250948469133,0.7924544495824541,0.7927039452188525,0.35307613705396546,0.3209092671233996,0.3210074292090712,0.39766642363812094
2,Ey(kx),1.4444444444444444,2,2,329.63866689766934,3.763819095477387,508.4280885331855,0.7728680737692997,0.9657890344641568,0.9855534407601827,0.9895914713363249,0.42411111558911785,0.06447544223927272,0.02402410951221696,0.5175374288556231,0.3078388871534719,0.04704998324780065,0.017362309331300202,0.37486184234824194
