structure,pol,delta_nm,sphere,peak,lambda_nm,hv_eV,Pabs_peak_eVps,Ne_eps0.5_tau100fs,Ne_eps0.5_tau500fs,Ne_eps0.5_tau1000fs,Ne_eps0.5_max_over_tau,Ne_eps1.0_tau100fs,Ne_eps1.0_tau500fs,Ne_eps1.0_tau1000fs,Ne_eps1.0_max_over_tau,Ne_eps2.0_tau100fs,Ne_eps2.0_tau500fs,Ne_eps2.0_tau1000fs,Ne_eps2.0_max_over_tau
2,Ey(kx),3.0,1,1,345.79742507892763,3.587939698492463,5375.242943906942,0.5959039348256812,0.6129417914207813,0.619102013825896,0.6204235855219067,0.29715845337033414,0.13670000009942296,0.1273429383287651,0.4188506098797418,0.2511751823570046,0.116122646552161,0.10819089873726165,0.34913868877253573
2,Ey(kx),3.0,1,2,327.800533067385,3.784924623115578,200.4313771389056,0.8478443805006682,0.9524097146447796,0.9610092760197513,0.9637401617621061,0.6127278984545376,0.8254151502633735,0.8542604299073518,0.863986002821405,0.22912410492693486,0.0967884629574262,0.11525970748568709,0.3153026405337701
2,Ey(kx),3.0,2,1,345.79742507892763,3.587939698492463,5375.242943906939,0.5959039348256812,0.6129417914207811,0.619102013825896,0.6204235855219065,0.29715845337033414,0.13670000009942287,0.12734293832876512,0.4188506098797418,0.2511751823570046,0.11612264655216095,0.10819089873726168,0.34913868877253573
2,Ey(kx),3.0,2,2,327.800533067385,3.784924623115578,200.43137713890542,0.8478443805006681,0.9524097146447796,0.9610092760197513,0.9637401617621059,0.6127278984545375,0.8254151502633734,0.8542604299073517,0.8639860028214047,0.22912410492693472,0.0967884629574259,0.11525970748568634,0.31530264053377
