structure,pol,delta_nm,sphere,peak,lambda_nm,hv_eV,Pabs_peak_eVps,Ne_eps0.5_tau100fs,Ne_eps0.5_tau500fs,Ne_eps0.5_tau1000fs,Ne_eps0.5_max_over_tau,Ne_eps1.0_tau100fs,Ne_eps1.0_tau500fs,Ne_eps1.0_tau1000fs,Ne_eps1.0_max_over_tau,Ne_eps2.0_tau100fs,Ne_eps2.0_tau500fs,Ne_eps2.0_tau1000fs,Ne_eps2.0_max_over_tau
2,Ey(kx),0.2,1,1,411.087847995928,3.018090452261307,3639.615856395604,0.7036879412281123,0.8385587888248341,0.853354606979726,0.8568872908930499,0.6812718085342875,0.8281987740141006,0.844001678232416,0.8477701205694678,0.38797026898834824,0.5794443249146309,0.6100379985577866,0.6177847518744887
2,Ey(kx),0.2,1,2,349.22116196089723,3.552763819095478,2616.7372304613664,0.9183247393549456,0.9893781918826686,0.9930847771199219,0.9939285463538658,0.8932647403261884,0.9861077089322224,0.9909559823830885,0.9920595992405017,0.7497561599109959,0.9558058307366969,0.967783382853961,0.9701243129951447
2,Ey(kx),0.2,1,3,330.8755849723323,3.749748743718593,699.7852504182518,0.7967546150473132,0.8193613851195196,0.8198749900610424,0.8199455113640909,0.7174051011851531,0.7416587495397039,0.742350125964607,0.7424594602588942,0.5920440865965033,0.6238098070945832,0.6249212205817388,0.6251020571692514
2,Ey(kx),0.2,2,1,411.087847995928,3.018090452261307,3639.6158563956046,0.7036879412281121,0.838558788824834,0.8533546069797261,0.8568872908930495,0.6812718085342873,0.8281987740141005,0.8440016782324161,0.8477701205694674,0.3879702689883482,0.5794443249146307,0.6100379985577864,0.6177847518744882
2,Ey(kx),0.2,2,2,349.22116196089723,3.552763819095478,2616.7372304613655,0.9183247393549461,0.9893781918826686,0.9930847771199219,0.993928546353866,0.8932647403261886,0.9861077089322224,0.9909559823830885,0.9920595992405018,0.749756159910996,0.9558058307366969,0.967783382853961,0.9701243129951448
2,Ey(kx),0.2,2,3,330.8755849723323,3.749748743718593,699.7852504182514,0.7967546150473133,0.8193613851195197,0.8198749900610426,0.819945511364091,0.7174051011851531,0.7416587495397039,0.7423501259646071,0.7424594602588943,0.5920440865965033,0.6238098070945832,0.6249212205817388,0.6251020571692513
