structure,pol,delta_nm,sphere,peak,lambda_nm,hv_eV,Pabs_peak_eVps,Ne_eps0.5_tau100fs,Ne_eps0.5_tau500fs,Ne_eps0.5_tau1000fs,Ne_eps0.5_max_over_tau,Ne_eps1.0_tau100fs,Ne_eps1.0_tau500fs,Ne_eps1.0_tau1000fs,Ne_eps1.0_max_over_tau,Ne_eps2.0_tau100fs,Ne_eps2.0_tau500fs,Ne_eps2.0_tau1000fs,Ne_eps2.0_max_over_tau
2,Ey(kx),2.066666666666667,1,1,349.22116196089723,3.552763819095478,5417.989990176452,0.9171301513160066,0.9891920909949808,0.9928375034848673,0.9935447713673741,0.89233701159323,0.9859562350734777,0.9906933026436041,0.9916123426457348,0.7500067512521598,0.9593097107855068,0.9724350249509041,0.974940616904252
2,Ey(kx),2.066666666666667,1,2,328.410962365462,3.777889447236181,300.82102661337706,0.7641610522115748,0.7984959328165087,0.8013908808311425,0.8021103423462641,0.5591800717438895,0.5912270656622955,0.5958870742951674,0.5971255076102868,0.2928372874179415,0.28808934421182364,0.29364726720037654,0.32168683193649494
2,Ey(kx),2.066666666666667,2,1,349.22116196089723,3.552763819095478,5417.989990176449,0.9171301513160066,0.989192090994981,0.9928375034848673,0.9935447713673741,0.89233701159323,0.9859562350734778,0.9906933026436041,0.9916123426457348,0.7500067512521597,0.9593097107855069,0.9724350249509041,0.974940616904252
2,Ey(kx),2.066666666666667,2,2,328.410962365462,3.777889447236181,300.82102661337694,0.7641610522115747,0.7984959328165085,0.8013908808311423,0.8021103423462638,0.5591800717438893,0.5912270656622953,0.595887074295167,0.5971255076102865,0.29283728741794124,0.28808934421182314,0.2936472672003759,0.3216868319364948
