structure,pol,delta_nm,sphere,peak,lambda_nm,hv_eV,Pabs_peak_eVps,Ne_eps0.5_tau100fs,Ne_eps0.5_tau500fs,Ne_eps0.5_tau1000fs,Ne_eps0.5_max_over_tau,Ne_eps1.0_tau100fs,Ne_eps1.0_tau500fs,Ne_eps1.0_tau1000fs,Ne_eps1.0_max_over_tau,Ne_eps2.0_tau100fs,Ne_eps2.0_tau500fs,Ne_eps2.0_tau1000fs,Ne_eps2.0_max_over_tau
2,Ey(kx),0.2,1,1,411.087847995928,3.018090452261307,3639.615856395604,0.7036879412281123,0.8385587888248341,0.853354606979726,0.8568872908930499,0.6812718085342875,0.8281987740141006,0.844001678232416,0.8477701205694678,0.38797026898834824,0.5794443249146309,0.6100379985577866,0.6177847518744887
2,Ey(kx),0.2,1,2,349.22116196089723,3.552763819095478,2616.7372304613664,0.9183247393549456,0.9893781918826686,0.9930847771199219,0.9939285463538658,0.8932647403261884,0.9861077089322224,0.9909559823830885,0.9920595992405017,0.7497561599109959,0.9558058307366969,0.967783382853961,0.9701243129951447
2,Ey(kx),0.2,1,3,330.8755849723323,3.749748743718593,699.7852504182518,0.7967546150473132,0.8193613851195196,0.8198749900610424,0.8199455113640909,0.7174051011851531,0.7416587495397039,0.742350125964607,0.7424594602588942,0.5920440865965033,0.6238098070945832,0.6249212205817388,0.6251020571692514
2,Ey(kx),0.2,2,1,411.087847995928,3.018090452261307,3639.6158563956046,0.7036879412281121,0.838558788824834,0.8533546069797261,0.8568872908930495,0.6812718085342873,0.8281987740141005,0.8440016782324161,0.8477701205694674,0.3879702689883482,0.5794443249146307,0.6100379985577864,0.6177847518744882
2,Ey(kx),0.2,2,2,349.22116196089723,3.552763819095478,2616.7372304613655,0.9183247393549461,0.9893781918826686,0.9930847771199219,0.993928546353866,0.8932647403261886,0.9861077089322224,0.9909559823830885,0.9920595992405018,0.749756159910996,0.9558058307366969,0.967783382853961,0.9701243129951448
2,Ey(kx),0.2,2,3,330.8755849723323,3.749748743718593,699.7852504182514,0.7967546150473133,0.8193613851195197,0.8198749900610426,0.819945511364091,0.7174051011851531,0.7416587495397039,0.7423501259646071,0.7424594602588943,0.5920440865965033,0.6238098070945832,0.6249212205817388,0.6251020571692513
2,Ey(kx),0.5111111111111111,1,1,376.02705072548645,3.2994974874371854,4663.340910037616,0.8142053910494117,0.9109907274151969,0.9158363755778801,0.9167336118258406,0.7925702038066388,0.9017601203752195,0.9073022250181094,0.9083324956889738,0.6214650617572254,0.8214585078798274,0.832743011777864,0.8348765761992399
2,Ey(kx),0.5111111111111111,1,2,337.2020779928358,3.679396984924623,1708.5392560301464,0.8908420271257176,0.9606624962651128,0.9634781647198509,0.9640070860117435,0.8759516104030239,0.9552874566860796,0.958487662122464,0.9590888229712831,0.8270985761494213,0.9330329591572907,0.9375719104509228,0.9384254375946626
2,Ey(kx),0.5111111111111111,2,1,376.02705072548645,3.2994974874371854,4663.340910037617,0.8142053910494119,0.910990727415197,0.9158363755778802,0.916733611825841,0.792570203806639,0.9017601203752195,0.9073022250181095,0.9083324956889742,0.6214650617572254,0.8214585078798277,0.832743011777864,0.8348765761992403
2,Ey(kx),0.5111111111111111,2,2,337.2020779928358,3.679396984924623,1708.5392560301473,0.8908420271257176,0.9606624962651129,0.9634781647198509,0.9640070860117435,0.8759516104030239,0.9552874566860797,0.958487662122464,0.9590888229712831,0.8270985761494213,0.9330329591572908,0.9375719104509228,0.9384254375946626
